"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ko:K21014",0.791026764842026,0.664040631477987,2.17744474339966,0.304963252679936,0.760394140073483,NA
"ko:K03076",267.266642466553,0.0618446161874411,0.203030480644089,0.304607544597476,0.760665073186328,0.867909457578771
"ko:K09471",9.46072518607591,0.198681149285914,0.656718769597267,0.30253612121937,0.762243401960585,0.869304765028916
"ko:K17763",40.6215403938828,-0.128208681396508,0.423864205629865,-0.302475839416515,0.76228934875089,0.869304765028916
"ko:K00422",0.324030122806316,-1.04306716549721,3.44860039458991,-0.302461012048119,0.762300650299507,NA
"ko:K04792",0.324030122806316,-1.04306716549721,3.44860039458991,-0.302461012048119,0.762300650299507,NA
"ko:K15557",0.324030122806316,-1.04306716549721,3.44860039458991,-0.302461012048119,0.762300650299507,NA
"ko:K16033",0.324030122806316,-1.04306716549721,3.44860039458991,-0.302461012048119,0.762300650299507,NA
"ko:K16037",0.324030122806316,-1.04306716549721,3.44860039458991,-0.302461012048119,0.762300650299507,NA
"ko:K16200",0.324030122806316,-1.04306716549721,3.44860039458991,-0.302461012048119,0.762300650299507,NA
"ko:K16371",0.324030122806316,-1.04306716549721,3.44860039458991,-0.302461012048119,0.762300650299507,NA
"ko:K17240",0.324030122806316,-1.04306716549721,3.44860039458991,-0.302461012048119,0.762300650299507,NA
"ko:K19129",0.324030122806316,-1.04306716549721,3.44860039458991,-0.302461012048119,0.762300650299507,NA
"ko:K19351",0.324030122806316,-1.04306716549721,3.44860039458991,-0.302461012048119,0.762300650299507,NA
"ko:K21161",0.324030122806316,-1.04306716549721,3.44860039458991,-0.302461012048119,0.762300650299507,NA
"ko:K21910",0.324030122806316,-1.04306716549721,3.44860039458991,-0.302461012048119,0.762300650299507,NA
"ko:K09159",3.78350866954456,0.303493462309945,1.00407409058838,0.302262019461232,0.762452329076433,0.869304765028916
"ko:K02225",0.32765581388951,-1.04157737013219,3.44866682531022,-0.302023194147928,0.762634381729132,NA
"ko:K03329",0.32765581388951,-1.04157737013219,3.44866682531022,-0.302023194147928,0.762634381729132,NA
"ko:K07773",0.32765581388951,-1.04157737013219,3.44866682531022,-0.302023194147928,0.762634381729132,NA
"ko:K19592",1.18184040942135,-0.594316022238151,1.97265117957545,-0.301277807445947,0.76320266230069,NA
"ko:K07291",1.70022730925867,-0.847652457383609,2.81465812247827,-0.301156453287926,0.763295194433254,0.869838404142275
